 by Role ,από το ρόλο
 is not set,Δεν έχει οριστεί
""" does not exists",""" Δεν υπάρχει"
2 days ago,2 μέρες πριν
About,Περίπου
Actions,δράσεις
Add,Προσθήκη
Add Attachments,Προσθήκη Συνημμένα
Add Bookmark,Προσθήκη σελιδοδείκτη
Add Column,Προσθήκη στήλης
Add Message,Προσθήκη μηνύματος
Add Reply,Προσθέστε Απάντηση
Add Serial No,Προσθήκη Αύξων αριθμός
Add This To User's Restrictions,Προσθέστε το σε Περιορισμοί χρήστη
Add attachment,Προσθήκη συνημμένου
Add new row,Προσθήκη νέας γραμμής
Add to To Do,Προσθήκη στο να κάνει
Add to To Do List of,Προσθήκη στο να κάνει τον κατάλογο των
"Allowing DocType, DocType. Be careful!","Επιτρέποντας DocType , DocType . Να είστε προσεκτικοί !"
Alternative download link,Εναλλακτική σύνδεση λήψης
Amend,Τροποποιούνται
Are you sure you want to delete the attachment?,Είστε σίγουροι ότι θέλετε να διαγράψετε το συνημμένο;
Ascending,Αύξουσα
Assign To,Εκχώρηση σε
Assigned To,Ανατέθηκε σε
Assignments,αναθέσεις
Attach Document Print,Συνδέστε Εκτύπωση εγγράφου
Attach as web link,Να επισυναφθεί ως σύνδεσμο ιστού
Attachments,Συνημμένα
Bookmarks,Σελιδοδείκτες
Built on,Χτισμένο σε
Calendar,Ημερολόγιο
Cancel,Ακύρωση
Cancelled,Ακυρώθηκε
Cannot edit standard fields,Δεν μπορείτε να επεξεργαστείτε τα τυπικά πεδία
Cannot open instance when its {0} is open,"Δεν μπορείτε να ανοίξετε παράδειγμα, όταν του {0} είναι ανοικτή"
Cannot open {0} when its instance is open,Δεν είναι δυνατό το άνοιγμα {0} όταν παράδειγμα είναι ανοιχτό
Cannot print cancelled documents,Δεν είναι δυνατή η εκτύπωση ακυρώνεται έγγραφα
Clear Cache,Clear Cache
Click on row to view / edit.,Κάντε κλικ στην γραμμή για να δείτε / επεξεργαστείτε .
Click to Expand / Collapse,Click to Expand / Collapse
Close,Κοντά
Close: {0},Κλείσιμο : {0}
Collapse,κατάρρευση
Comment,Σχόλιο
Comments,Σχόλια
Communication Medium,Μέσο Επικοινωνίας
Complete By,Συμπληρώστε Με
Copy,Αντιγραφή
Creation / Modified By,Δημιουργία / Τροποποιήθηκε από
Current status,Τρέχουσα κατάσταση
Custom Reports,Προσαρμοσμένες Αναφορές
Customize,Προσαρμογή
Date must be in format: {0},Η ημερομηνία πρέπει να είναι σε μορφή : {0}
Dear,Αγαπητός
Delete,Διαγραφή
Delete Row,Διαγραφή γραμμής
Descending,Φθίνουσα
Document Status transition from ,Έγγραφο μετάβασης κατάστασης από
Document Status transition from {0} to {1} is not allowed,Μετάβασης Κατάσταση εγγράφου από {0} έως {1} δεν επιτρέπεται
Document is only editable by users of role,Το έγγραφο είναι μόνο επεξεργάσιμη από τους χρήστες του ρόλου
Documentation,Τεκμηρίωση
Download,Λήψη
Drafts,Συντάκτης
Drag to sort columns,Σύρετε για να ταξινομήσετε στήλες
Edit,Επεξεργασία
Editable,Επεξεργάσιμη
Email,Email
"Email addresses, separted by commas","Οι διευθύνσεις ηλεκτρονικού ταχυδρομείου, separted με κόμματα"
Email sent to {0},Μηνύματος που αποστέλλεται σε {0}
Email...,Στείλτε e-mail ...
Enter Value,Εισαγωγή τιμής
Equals,Ίσο
Expand,Αναπτύξτε
Export,Εξαγωγή
Export not allowed. You need {0} role to export.,Η εξαγωγή δεν επιτρέπεται . Χρειάζεται {0} ρόλο για την εξαγωγή .
Field {0} is not selectable.,Το πεδίο {0} δεν είναι επιλέξιμο .
File,Αρχείο
Filter,Φιλτράρισμα
"For comparative filters, start with","Για τις συγκριτικές φίλτρα, ξεκινήστε με"
For ranges,Για σειρές
Form,Μορφή
Forums,φόρουμ
Frappe.io Portal,Frappe.io Portal
From Date must be before To Date,Από την ημερομηνία πρέπει να είναι πριν από την ημερομηνία
Gantt Chart,Gantt Chart
Get,Λήψη
Get From ,Πάρτε Από
Greater or equals,Μεγαλύτερο ή ίσον
Greater than,"μεγαλύτερη από ό, τι"
"Grid ""","Πλέγμα """
"Group Added, refreshing...","Ομάδα Προστέθηκε , αναζωογονητικό ..."
Help,Βοήθεια
History,Ιστορία
"Ignoring Item {0}, because a group exists with the same name!","Αγνοώντας Θέση {0} , διότι υπάρχει μια ομάδα με το ίδιο όνομα !"
Import,Εισαγωγή
In,σε
In response to,Σε απάντηση προς
Insert Below,Εισαγωγή κάτω
Insert Row,Εισαγωγή γραμμής
Invalid Email: {0},Μη έγκυρο Email : {0}
Invalid Filter: {0},Άκυρα Φίλτρο : {0}
Last updated by,Τελευταία ενημέρωση από
Less or equals,Λιγότερο ή ίσον
Less than,λιγότερο από
Like,σαν
Linked With,Συνδέεται με την
List,Λίστα
Loading,Φόρτωση
Loading Report,Φόρτωση Έκθεση
Logout,Αποσύνδεση
Make a new,Κάντε μια νέα
