 by Role ,по улози
 is not set,није одређена
""" does not exists",""" Не постоји"
2 days ago,Пре 2 дана
About,Око
Actions,Акције
Add,Додати
Add Attachments,Додај Прилози
Add Bookmark,Адд Боокмарк
Add Column,Додај колону
Add Message,Додај поруку
Add Reply,Адд Репли
Add Serial No,Додај сериал но
Add This To User's Restrictions,Добавить этот ограничений для покупателя
Add attachment,Додај прилог
Add new row,Додавање новог реда
Add to To Do,Адд то То До
Add to To Do List of,Адд то То До листу
"Allowing DocType, DocType. Be careful!","Разрешение DocType , DocType . Будьте осторожны !"
Alternative download link,Альтернативная ссылка для скачивания
Amend,Изменити
Are you sure you want to delete the attachment?,Да ли сте сигурни да желите да избришете прилог?
Ascending,Растући
Assign To,Додели
Assigned To,Додељено
Assignments,Задания
Attach Document Print,Приложите Принт документа
Attach as web link,Причврстите као веб линк
Attachments,Прилози
Bookmarks,Боокмаркс
Built on,Построенный на
Calendar,Календар
Cancel,Отказати
Cancelled,Отказан
Cannot edit standard fields,Не можете да измените стандардне поља
Cannot open instance when its {0} is open,"Не могу открыть экземпляр , когда его {0} открыто"
Cannot open {0} when its instance is open,"Не могу открыть {0} , когда его экземпляр открыт"
Cannot print cancelled documents,Невозможно печатать отмененные документы
Clear Cache,Очистить кэш
Click on row to view / edit.,"Нажмите на строке , чтобы просмотреть / редактировать ."
Click to Expand / Collapse,Кликните на Прошири / скупи
Close,Затворити
Close: {0},Закрыть : {0}
Collapse,коллапс
Comment,Коментар
Comments,Коментари
Communication Medium,Комуникација средња
Complete By,Комплетан Би
Copy,Копирајте
Creation / Modified By,Создание / Изменено
Current status,Тренутни статус
Custom Reports,Прилагођени извештаји
Customize,Прилагодите
Date must be in format: {0},Дата должна быть в формате : {0}
Dear,Драг
Delete,Избрисати
Delete Row,Делете Ров
Descending,Спуштање
Document Status transition from ,Документ статус прелазак са
Document Status transition from {0} to {1} is not allowed,Статус документа переход от {0} до {1} не допускается
Document is only editable by users of role,Документ је само мењати од стране корисника о улози
Documentation,Документација
Download,скачать
Drafts,Нацрти
Drag to sort columns,Превуците за сортирање колоне
Edit,Едит
Editable,Едитабле
Email,Е-маил
"Email addresses, separted by commas","Емаил адресе, сепартед зарезима"
Email sent to {0},E-mail отправлено на адрес {0}
Email...,Е-маил ...
Enter Value,Введите значение
Equals,Једнак
Expand,расширять
Export,Извоз
Export not allowed. You need {0} role to export.,Экспорт не допускается. Вам нужно {0} роль для экспорта .
Field {0} is not selectable.,Поле {0} не выбирается .
File,Фајл
Filter,Филтер
"For comparative filters, start with","За компаративних филтера, почети са"
For ranges,За опсеге
Form,Образац
Forums,Форумы
Frappe.io Portal,Frappe.io Портал
From Date must be before To Date,Од датума мора да буде пре датума
Gantt Chart,Гантт Цхарт
Get,Добити
Get From ,Од Гет
Greater or equals,Већа или једнаки
Greater than,Веће од
"Grid ""","Мрежа """
"Group Added, refreshing...","Группа Добавлено , освежающий ..."
Help,Помоћ
History,Историја
"Ignoring Item {0}, because a group exists with the same name!","Игнорирование Пункт {0} , потому что группа существует с тем же именем !"
Import,Увоз
In,у
In response to,У одговору на
Insert Below,Убаците Испод
Insert Row,Уметни ред
Invalid Email: {0},Неверный e-mail: {0}
Invalid Filter: {0},Неверный Фильтр: {0}
Last updated by,Последње ажурирање
Less or equals,Мање или једнако
Less than,Мање од
Like,као
Linked With,Повезан са
List,Списак
Loading,Утовар
Loading Report,Учитавање извештај
Logout,Одјава
Make a new,Направите нови
Mandatory fields required in {0},"Обязательные поля , необходимые в {0}"
Mandatory filters required:\n,Обавезни филтери потребни : \ н
Message,Порука
Missing Values Required,Вредности које недостају Обавезна
Modified by,Изменио
More,Више
Move Down: {0},Вниз : {0}
Move Up: {0},Вверх : {0}
My Settings,Моја подешавања
Name is required,Име је обавезно
Name not permitted,Имя не допускается
New,новый
New Record,Нови Рекорд
Next Record,Следующая запись
Next actions,Следеће акције
No,Не
No Communication tagged with this ,Не Комуникација означена са овим
No Report Loaded. Please use query-report/[Report Name] to run a report.,Не Извештај Лоадед. Молимо Вас да користите упит-извештај / [извештај Име] да покренете извештај.
No Results,Нет результатов
No document selected,Не выбрано ни одного документа
No one,Нико
No permission to edit,Немате дозволу да измените
No records tagged.,Нема података означени.
None,Ниједан
None: End of Workflow,Ништа: Крај Воркфлов
Not Found,Није пронађено
Not Linked to any record.,Није повезано са било запис.
Not Permitted,Није дозвољено
Not Submitted,Не Представленные
Not allowed,Не допускается
Not enough permission to see links.,Није довољно дозволу да виде линкове.
Not equals,Нису једнаки
Not found,Не найдено
Not permitted,Не допускается
Note: Other permission rules may also apply,Напомена: Остале дозвола правила могу да се примењују
Nothing to show,Ништа да покаже
Nothing to show for this selection,Ништа се покаже за овај избор
Notify By Email,Обавестити путем емаила
Open source ERP built for the web,Открытый исходный код ERP построен для веб
Or Created By,Или Создано
