 by Role ,por função
 is not set,não está definido
""" does not exists",""" Não existe"
2 days ago,Há 2 dias
About,Sobre
Actions,ações
Add,Adicionar
Add Attachments,Adicionar Anexos
Add Bookmark,Adicionar marcadores
Add Column,Adicionar Coluna
Add Message,Adicionar Mensagem
Add Reply,Adicione Resposta
Add Serial No,Adicionar Serial No
Add This To User's Restrictions,Adicione isto a Restrições do Usuário
Add attachment,Adicionar anexo
Add new row,Adicionar nova linha
Add to To Do,Adicionar à Lista de Tarefas
Add to To Do List of,Adicionar à Lista de Tarefas de
"Allowing DocType, DocType. Be careful!","Permitindo DocType , DocType . Tenha cuidado !"
Alternative download link,Link para download Alternativa
Amend,Corrigir
Are you sure you want to delete the attachment?,Tem certeza de que deseja excluir o anexo?
Ascending,Ascendente
Assign To,Atribuir a
Assigned To,Atribuído a
Assignments,Atribuições
Attach Document Print,Anexar Cópia do Documento
Attach as web link,Anexar como link da web
Attachments,Anexos
Bookmarks,Marcadores
Built on,construído sobre
Calendar,Calendário
Cancel,Cancelar
Cancelled,Cancelado
Cannot edit standard fields,Não é possível editar campos padrão
Cannot open instance when its {0} is open,"Não é possível abrir instância , quando o seu {0} é aberto"
Cannot open {0} when its instance is open,Não é possível abrir {0} quando sua instância está aberta
Cannot print cancelled documents,Não é possível imprimir documentos cancelados
Clear Cache,Limpar Cache
Click on row to view / edit.,Clique na fila para ver / editar .
Click to Expand / Collapse,Clique para Expandir / Recolher
Close,Fechar
Close: {0},Fechar: {0}
Collapse,colapso
Comment,Comentário
Comments,Comentários
Communication Medium,Meio de comunicação
Complete By,Completar em
Copy,Copie
Creation / Modified By,Criação / Modificado por
Current status,Estado Atual
Custom Reports,Relatórios personalizados
Customize,Personalize
Date must be in format: {0},A data deve estar no formato : {0}
Dear,Caro
Delete,Excluir
Delete Row,Apagar Linha
Descending,Descendente
Document Status transition from ,Documento transição Estado de
Document Status transition from {0} to {1} is not allowed,Transição Status do Documento de {0} para {1} não é permitido
Document is only editable by users of role,Documento só é editável por usuários da função
Documentation,Documentação
Download,baixar
Drafts,Rascunhos
Drag to sort columns,Arraste para classificar colunas
Edit,Editar
Editable,Editável
Email,E-mail
"Email addresses, separted by commas","Endereços de email, separados por vírgulas"
Email sent to {0},E-mail enviado para {0}
Email...,E-mail ...
Enter Value,Digite o Valor
Equals,Equals
Expand,expandir
Export,Exportar
Export not allowed. You need {0} role to export.,Exportação não é permitido . Você precisa de {0} papel para exportar .
Field {0} is not selectable.,O campo {0} não é selecionável.
File,Arquivo
Filter,Filtre
"For comparative filters, start with","Para filtros comparativos, comece com"
For ranges,Para faixas
Form,Forma
Forums,Fóruns
Frappe.io Portal,Frappe.io Portal
From Date must be before To Date,A data inicial deve ser anterior a data final
Gantt Chart,Gráfico de Gantt
Get,Obter
Get From ,Obter do
Greater or equals,Maior ou igual
Greater than,maior do que
"Grid ""","Grid """
"Group Added, refreshing...","Grupo Adicionado, refrescante ..."
Help,Ajudar
History,História
"Ignoring Item {0}, because a group exists with the same name!","Ignorando item {0}, porque um grupo existe com o mesmo nome!"
Import,Importar
In,em
In response to,Em resposta ao(s)
Insert Below,Inserir Abaixo
Insert Row,Inserir Linha
Invalid Email: {0},E-mail inválido : {0}
Invalid Filter: {0},Filtro inválido: {0}
Last updated by,Última actualização por
Less or equals,Menor ou igual
Less than,menor que
Like,como
Linked With,Ligado com
List,Lista
Loading,Carregando
Loading Report,Relatório de carregamento
Logout,Sair
Make a new,Fazer um novo
Mandatory fields required in {0},Os campos obrigatórios exigidos no {0}
Mandatory filters required:\n,Filtros obrigatórios exigidos : \ n
Message,Mensagem
Missing Values Required,Faltando valores obrigatórios
Modified by,Modificado(a) por
More,Mais
Move Down: {0},Mover para baixo : {0}
Move Up: {0},Mover para cima : {0}
My Settings,Minhas Configurações
Name is required,Nome é obrigatório
Name not permitted,Nome não é permitida
New,novo
New Record,Novo Registro
Next Record,Próximo Registro
Next actions,Próximas ações
No,Não
No Communication tagged with this ,Nenhuma comunicação com etiquetas com esta
No Report Loaded. Please use query-report/[Report Name] to run a report.,"Não Relatório Loaded. Por favor, use-consulta do relatório / [Nome do relatório] para executar um relatório."
No Results,nenhum resultado
No document selected,Nenhum documento selecionado
No one,Ninguém
No permission to edit,Sem permissão para editar
No records tagged.,Não há registros marcados.
None,Nenhum
